Id,CreationDate,PostId,RelatedPostId,LinkTypeId
1038,2011-08-23T21:27:30.273,73,49,1
1215,2011-08-23T21:53:46.220,109,48,1
2541,2011-08-24T02:17:17.573,117,114,1
2717,2011-08-24T03:17:42.603,126,20,1
2868,2011-08-24T07:12:35.673,82,72,1
2869,2011-08-24T07:13:15.550,199,107,1
3146,2011-08-24T10:29:04.973,92,114,1
3297,2011-08-24T11:52:55.833,287,248,1
3423,2011-08-24T13:07:18.337,263,2,1
3824,2011-08-24T14:07:32.440,319,256,1
4075,2011-08-24T15:11:31.037,256,335,1
4651,2011-08-24T18:02:37.303,217,204,1
5002,2011-08-24T18:50:58.853,381,121,1
5053,2011-08-24T19:10:22.940,391,66,1
5054,2011-08-24T19:14:04.377,396,385,1
5380,2011-08-24T19:46:49.213,410,396,1
5681,2011-08-24T20:08:10.683,78,72,1
6632,2011-08-25T02:19:30.180,217,126,1
7033,2011-08-25T08:07:54.737,485,224,1
7234,2011-08-25T11:38:11.360,345,498,1
7385,2011-08-25T12:49:21.410,15,456,1
7711,2011-08-25T14:22:01.843,385,384,1
8412,2011-08-25T17:57:47.570,552,456,1
8413,2011-08-25T17:57:47.570,552,15,1
8439,2011-08-25T18:08:28.473,557,462,1
8991,2011-08-25T21:30:10.143,588,17,1
8992,2011-08-25T21:30:10.143,588,518,1
9243,2011-08-26T03:07:39.900,582,17,1
10245,2011-08-26T14:41:04.060,693,482,1
10321,2011-08-26T15:07:00.337,689,541,1
10397,2011-08-26T15:22:42.960,693,443,1
10798,2011-08-26T18:20:28.700,720,48,1
11424,2011-08-26T22:42:31.373,767,11,1
11675,2011-08-26T23:28:25.053,772,767,1
11752,2011-08-27T00:52:10.827,778,694,1
11778,2011-08-27T01:03:38.230,717,112,1
11779,2011-08-27T01:31:24.230,694,778,1
12355,2011-08-27T11:59:45.463,820,774,1
12431,2011-08-27T13:59:26.980,790,802,1
12657,2011-08-27T18:33:40.240,845,4,1
12858,2011-08-27T19:58:09.657,860,861,1
12884,2011-08-27T19:58:47.243,861,860,1
13185,2011-08-27T21:41:53.857,875,712,1
13311,2011-08-27T22:24:54.373,456,15,1
13612,2011-08-28T01:54:23.547,894,572,1
13738,2011-08-28T09:31:27.733,911,774,1
14089,2011-08-28T23:32:35.227,79,199,1
14641,2011-08-29T07:15:48.723,968,144,1
14667,2011-08-29T07:34:56.257,952,911,1
14843,2011-08-29T11:21:36.697,982,980,1
14844,2011-08-29T11:21:36.697,982,951,1
14845,2011-08-29T11:21:36.697,982,964,1
14871,2011-08-29T11:25:58.987,964,982,1
14897,2011-08-29T11:57:55.853,772,11,1
15149,2011-08-29T14:08:43.543,991,485,1
15275,2011-08-29T16:17:50.780,1004,1011,1
15326,2011-08-29T16:41:03.257,1011,160,1
15352,2011-08-29T18:03:07.353,1011,554,1
15579,2011-08-29T19:27:27.730,1030,790,1
15755,2011-08-29T20:44:58.460,126,319,1
15756,2011-08-29T20:46:15.240,20,319,1
15832,2011-08-29T21:16:11.060,1029,119,1
16583,2011-08-30T07:26:15.443,1048,1055,1
16609,2011-08-30T10:12:18.397,1079,774,1
16960,2011-08-30T12:51:53.730,1086,121,1
17036,2011-08-30T13:06:24.473,1086,381,1
17212,2011-08-30T14:05:58.910,1104,1102,1
17238,2011-08-30T14:25:25.370,1092,980,1
17264,2011-08-30T14:36:25.333,1066,1067,1
17668,2011-08-30T20:22:49.347,1143,121,1
17794,2011-08-30T20:32:01.227,1086,217,1
17970,2011-08-30T20:47:16.460,1143,1092,1
17971,2011-08-30T20:47:16.460,1143,980,1
17972,2011-08-30T20:47:16.460,1143,982,1
18600,2011-08-30T23:01:51.913,1211,296,1
18701,2011-08-30T23:23:33.940,1218,588,1
18727,2011-08-30T23:24:22.080,1218,17,1
18803,2011-08-30T23:42:30.377,1217,1187,1
18854,2011-08-31T00:01:28.220,1224,717,1
18980,2011-08-31T00:30:39.677,1235,144,1
18981,2011-08-31T00:30:39.677,1235,968,1
18982,2011-08-31T00:31:07.613,1235,525,1
19058,2011-08-31T00:58:46.490,1235,1017,1
19111,2011-08-31T01:10:15.583,1244,137,1
19237,2011-08-31T01:22:32.763,114,1251,1
19388,2011-08-31T02:03:23.510,1251,114,1
19814,2011-08-31T03:18:44.120,508,1235,1
19916,2011-08-31T03:27:57.690,1303,204,1
20142,2011-08-31T03:53:16.447,1313,482,1
20168,2011-08-31T03:55:53.327,1311,1308,1
20219,2011-08-31T04:03:28.023,1187,1217,1
20270,2011-08-31T04:18:15.383,1315,952,1
20346,2011-08-31T04:30:46.140,1322,456,1
20448,2011-08-31T05:04:41.227,1330,847,1
20974,2011-08-31T09:15:44.990,1363,1360,1
21175,2011-08-31T10:39:48.120,1364,893,1
21201,2011-08-31T11:38:57.090,1348,1325,1
21202,2011-08-31T11:40:14.007,1332,2,1
21353,2011-08-31T12:30:32.810,1086,1378,1
21880,2011-08-31T14:51:00.467,1403,1271,1
21981,2011-08-31T14:56:21.037,1400,301,1
22132,2011-08-31T15:02:30.650,1400,126,1
22158,2011-08-31T15:08:18.537,1373,585,1
22259,2011-08-31T15:33:27.183,1410,1384,1
22285,2011-08-31T15:51:49.940,1158,1378,1
22311,2011-08-31T15:58:15.713,1384,130,1
22362,2011-08-31T16:19:42.800,1420,1384,1
22463,2011-08-31T16:41:03.340,1375,381,1
22614,2011-08-31T17:47:29.190,1361,772,1
22790,2011-08-31T19:04:48.673,1478,1470,1
22791,2011-08-31T19:04:48.673,1478,901,1
22842,2011-08-31T19:10:13.400,1479,1478,1
23193,2011-08-31T21:01:26.743,1395,980,1
23269,2011-08-31T21:21:27.170,1483,790,1
23320,2011-08-31T21:41:48.700,1502,121,1
23321,2011-08-31T21:53:28.340,1483,1477,1
23497,2011-08-31T22:32:04.780,438,1511,1
23498,2011-08-31T22:34:50.930,1533,1529,1
23725,2011-09-01T00:36:13.640,1553,11,1
24077,2011-09-01T06:15:50.147,1576,1051,1
24679,2011-09-01T11:55:31.677,1086,1600,1
24880,2011-09-01T12:24:28.930,1526,642,1
24881,2011-09-01T12:25:43.280,774,1079,1
24932,2011-09-01T12:35:07.540,1526,1529,1
25083,2011-09-01T13:40:21.860,1615,695,1
25159,2011-09-01T13:41:25.253,1600,1086,1
25436,2011-09-01T15:38:50.693,1633,1044,1
25739,2011-09-01T19:33:16.663,1482,11,1
26015,2011-09-01T20:12:22.770,1679,1534,1
26016,2011-09-01T20:43:44.080,1682,461,1
26092,2011-09-01T21:14:14.400,1671,1229,1
26168,2011-09-01T23:42:36.460,1535,130,1
26169,2011-09-01T23:52:26.310,1709,609,1
26496,2011-09-02T02:57:47.030,790,649,1
26547,2011-09-02T03:04:13.643,1672,2,1
26598,2011-09-02T04:37:12.020,1733,774,1
26649,2011-09-02T06:57:45.057,1750,952,1
26675,2011-09-02T08:00:02.823,1754,461,1
26726,2011-09-02T09:03:06.517,1725,1589,1
26902,2011-09-02T13:07:14.950,461,1754,1
26978,2011-09-02T13:37:40.687,1770,73,1
26979,2011-09-02T13:55:15.610,1589,1718,1
26980,2011-09-02T13:56:47.827,1775,1673,1
27031,2011-09-02T13:59:06.443,1770,154,1
27032,2011-09-02T13:59:49.303,1770,456,1
27058,2011-09-02T15:04:39.613,1794,774,1
27134,2011-09-02T15:20:49.570,774,1794,1
27160,2011-09-02T15:23:34.633,1338,538,1
27161,2011-09-02T15:28:58.687,1793,379,1
27812,2011-09-02T19:15:32.827,1812,768,1
28013,2011-09-02T20:03:05.970,1824,1363,1
28239,2011-09-02T20:52:20.160,1809,1763,1
28615,2011-09-03T03:24:17.640,1862,1821,1
28841,2011-09-03T17:28:50.570,768,1812,1
28868,2011-09-03T21:15:26.500,1919,1850,1
28994,2011-09-03T21:31:55.243,1920,451,1
29020,2011-09-03T21:33:17.780,1908,871,1
29021,2011-09-03T21:41:31.570,1920,8,1
29022,2011-09-03T21:41:31.570,1920,450,1
29099,2011-09-03T22:00:22.177,1929,1011,1
29150,2011-09-03T22:36:20.273,1929,1543,1
29176,2011-09-03T23:12:03.910,1929,1794,1
29377,2011-09-04T07:19:35.783,1325,1348,1
29503,2011-09-04T11:32:04.520,1958,1809,1
29579,2011-09-04T13:39:28.127,1962,121,1
29580,2011-09-04T13:39:28.127,1962,381,1
29581,2011-09-04T13:54:45.293,1809,1824,1
29657,2011-09-04T16:17:00.637,1958,1229,1
29683,2011-09-04T17:26:12.667,1962,1086,1
29684,2011-09-04T17:26:12.667,1962,1378,1
29710,2011-09-04T18:02:52.637,1229,1809,1
29786,2011-09-04T18:39:28.380,1400,1809,1
29888,2011-09-04T20:49:02.560,1998,1951,1
29939,2011-09-04T21:30:59.590,1951,1998,1
30040,2011-09-04T22:47:18.257,2006,1323,1
30066,2011-09-04T22:50:41.047,2007,1855,1
30442,2011-09-05T05:04:06.553,1991,72,1
30493,2011-09-05T06:08:56.613,2052,410,1
30494,2011-09-05T06:42:16.620,2028,384,1
